sector,anio,vab,rta,imb,puestos_total,puestos_ar,puestos_anr,puestos_na
"Otras actividades de servicios comunitarias, sociales y personales",2016,235730.99300841507,143638.67303008478,31881.47722367432,1047.4984488379528,498.0113045321672,314.0109554341763,235.47618887160945
"Otras actividades de servicios comunitarias, sociales y personales",2017,307857.48103079735,192530.01924962172,38794.27723165987,1078.6146457194338,503.43765071186226,340.7591025492442,234.41789245832732
"Otras actividades de servicios comunitarias, sociales y personales",2018,389972.17756265454,246199.1470778474,54407.93380491399,1109.1532680071678,506.7685574108587,354.3276571161801,248.05705348012887
"Otras actividades de servicios comunitarias, sociales y personales",2019,542933.3459498166,346051.23463826074,81720.39228816726,1116.3035158912007,506.5633231771056,329.26379127584767,280.47640143824736
"Otras actividades de servicios comunitarias, sociales y personales",2020,515315.1621229041,420003.08020129934,79415.80517653402,994.0173765662428,490.09531176111744,265.7209455729046,238.2011192322206
"Otras actividades de servicios comunitarias, sociales y personales",2021,974428.424632486,640680.4508726295,120044.67784275775,1095.504096142823,488.6671914012612,343.7226468519283,263.1142578896335
"Otras actividades de servicios comunitarias, sociales y personales",2022,1809705.4411032011,1162645.318090632,247963.27366839064,1249.7170119432576,500.78553921800585,438.6961559739918,310.2353167512599
Hogares privados con servicio doméstico,2016,58837.028504457405,58837.028504457405,NA,1695.899766477764,480.0950833333334,1215.8046831444306,NA
Hogares privados con servicio doméstico,2017,74954.92037428316,74954.92037428316,NA,1648.8762624565761,495.03053660141717,1153.845725855159,NA
Hogares privados con servicio doméstico,2018,96676.20896537011,96676.20896537011,NA,1662.2472025281763,514.3671798572653,1147.880022670911,NA
Hogares privados con servicio doméstico,2019,138170.54273089996,138170.54273089996,NA,1742.1314008435374,527.2449989196153,1214.886401923922,NA
Hogares privados con servicio doméstico,2020,157147.83727433198,157147.83727433198,NA,1411.5785831966086,514.4650568578743,897.1135263387343,NA
Hogares privados con servicio doméstico,2021,230384.34074557794,230384.34074557794,NA,1477.145189422346,502.53387692271724,974.6113124996289,NA
Hogares privados con servicio doméstico,2022,440175.5093999998,440175.50939999986,NA,1622.3936310771644,500.5420736982852,1121.851557378879,NA
