sector,anio,vbp_macro
"Fabricación de vehículos automotores, remolques y semirremolques",2017,306805.3466591168
"Fabricación de vehículos automotores, remolques y semirremolques",2018,485832.46829518507
"Fabricación de vehículos automotores, remolques y semirremolques",2019,607997.2123390513
"Fabricación de vehículos automotores, remolques y semirremolques",2020,706620.5828590598
"Fabricación de vehículos automotores, remolques y semirremolques",2021,1746622.794494296
"Fabricación de vehículos automotores, remolques y semirremolques",2022,3553016.2153526605
Fabricación de equipo de transporte n.c.p.,2016,8216.837854491294
Fabricación de equipo de transporte n.c.p.,2017,11883.305763977589
Fabricación de equipo de transporte n.c.p.,2018,30487.801800485366
Fabricación de equipo de transporte n.c.p.,2019,37298.431557749274
Fabricación de equipo de transporte n.c.p.,2020,38638.0147221692
Fabricación de equipo de transporte n.c.p.,2021,109888.6435963403
Fabricación de equipo de transporte n.c.p.,2022,234282.0836143266
Fabricación de muebles y colchones; industrias manufactureras n.c.p.,2016,58358.51350699145
Fabricación de muebles y colchones; industrias manufactureras n.c.p.,2017,72398.98770740879
Fabricación de muebles y colchones; industrias manufactureras n.c.p.,2018,98925.40704351009
Fabricación de muebles y colchones; industrias manufactureras n.c.p.,2019,126609.70964470826
Fabricación de muebles y colchones; industrias manufactureras n.c.p.,2020,182949.19896785147
Fabricación de muebles y colchones; industrias manufactureras n.c.p.,2021,335056.2633374752
Fabricación de muebles y colchones; industrias manufactureras n.c.p.,2022,564377.5134198436
Reciclamiento,2016,5729.258685858485
Reciclamiento,2017,6985.548595100426
Reciclamiento,2018,11043.609819062292
Reciclamiento,2019,16714.691618914483
Reciclamiento,2020,22041.47162269327
Reciclamiento,2021,48796.26841798571
Reciclamiento,2022,98876.530611859
"Reparación, mantenimiento e instalación de maquinas y equipos",2016,15449.81560029579
"Reparación, mantenimiento e instalación de maquinas y equipos",2017,18126.37595062101
"Reparación, mantenimiento e instalación de maquinas y equipos",2018,27451.84107084465
"Reparación, mantenimiento e instalación de maquinas y equipos",2019,35398.29643824574
"Reparación, mantenimiento e instalación de maquinas y equipos",2020,48167.99221495358
"Reparación, mantenimiento e instalación de maquinas y equipos",2021,85412.54311592906
"Reparación, mantenimiento e instalación de maquinas y equipos",2022,147832.2871790974
"Electricidad, gas y agua",2016,280914.00304470194
"Electricidad, gas y agua",2017,396658.2831693698
"Electricidad, gas y agua",2018,722768.6507068361
"Electricidad, gas y agua",2019,1050800.302734657
"Electricidad, gas y agua",2020,1215087.997664443
"Electricidad, gas y agua",2021,1653058.9211348938
"Electricidad, gas y agua",2022,2957736.74827
Generación captación y distribución de energía eléctrica,2016,215043.51122365636
Generación captación y distribución de energía eléctrica,2017,295490.5947264732
Generación captación y distribución de energía eléctrica,2018,537196.6529414718
Generación captación y distribución de energía eléctrica,2019,762826.1345189259
Generación captación y distribución de energía eléctrica,2020,896307.800605443
Generación captación y distribución de energía eléctrica,2021,1238696.938
Generación captación y distribución de energía eléctrica,2022,2303755.986
Fabricación de gas; distribución de combustibles gaseosos por tuberías,2016,37266.90250670157
Fabricación de gas; distribución de combustibles gaseosos por tuberías,2017,58455.67436616689
Fabricación de gas; distribución de combustibles gaseosos por tuberías,2018,127579.68256207483
Fabricación de gas; distribución de combustibles gaseosos por tuberías,2019,202397.2628048597
Fabricación de gas; distribución de combustibles gaseosos por tuberías,2020,217577.894059
Fabricación de gas; distribución de combustibles gaseosos por tuberías,2021,289395.95774429344
Fabricación de gas; distribución de combustibles gaseosos por tuberías,2022,469392.42426999996
"Captación, depuración y distribución de agua",2016,28603.58931434401
"Captación, depuración y distribución de agua",2017,42712.01407672974
"Captación, depuración y distribución de agua",2018,57992.31520328951
"Captación, depuración y distribución de agua",2019,85576.90541087142
"Captación, depuración y distribución de agua",2020,101202.303
"Captación, depuración y distribución de agua",2021,124966.02539060051
"Captación, depuración y distribución de agua",2022,184588.338
Construcción,2016,590450.9052415167
Construcción,2017,834413.7596259358
Construcción,2018,1115093.81398497
Construcción,2019,1570437.1511694002
Construcción,2020,1851871.5847060694
Construcción,2021,3785851.2071817
Construcción,2022,6747786.188999999
"Comercio mayorista, minorista y reparaciones",2016,1560792.1027690615
"Comercio mayorista, minorista y reparaciones",2017,2073334.4986012697
"Comercio mayorista, minorista y reparaciones",2018,3089183.967396386
